     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-----------   -----------   -----------   -----------
 0.5956E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.5965E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.5974E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.5983E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.5992E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
 0.6001E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6010E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6019E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6028E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.6037E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6046E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6055E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6064E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6073E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6082E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6091E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.6100E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.6109E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.6118E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.6127E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.6136E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.6145E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.6154E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.6163E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.6172E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.6181E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6190E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6199E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6208E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
 0.6217E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6226E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6235E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6244E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6253E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6262E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6271E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.6280E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.6289E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.6298E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.6307E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.6316E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.6325E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.6334E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.6343E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.6352E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.6361E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6370E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6379E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6388E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
 0.6397E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6406E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6415E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6424E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6433E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6442E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6451E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.6460E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.6469E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.6478E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.6487E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.6496E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.6505E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.6514E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.6523E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.6532E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.6541E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6550E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6559E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6568E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.6577E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6586E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6595E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6604E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6613E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6622E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6631E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.6640E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.6649E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.6658E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.6667E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.6676E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.6685E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.6694E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.6703E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.6712E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.6721E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6730E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6739E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6748E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.6757E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6766E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6775E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6784E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6793E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6802E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6811E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.6820E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.6829E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.6838E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.6847E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.6856E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.6865E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.6874E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.6883E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.6892E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
 0.6901E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.6910E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.6919E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.6928E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.6937E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.6946E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.6955E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.6964E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.6973E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.6982E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.6991E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7000E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7009E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7018E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7027E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7036E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7045E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7054E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7063E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7072E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
 0.7081E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7090E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7099E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.7108E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.7117E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.7126E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.7135E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.7144E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.7153E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.7162E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.7171E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7180E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7189E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7198E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7207E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7216E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7225E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7234E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7243E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7252E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.7261E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7270E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7279E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.7288E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
 0.7297E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.7306E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.7315E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.7324E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.7333E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.7342E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.7351E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7360E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7369E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7378E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7387E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7396E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7405E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7414E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7423E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7432E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.7441E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7450E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7459E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.7468E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
 0.7477E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.7486E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.7495E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.7504E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.7513E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.7522E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.7531E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7540E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7549E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7558E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7567E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7576E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7585E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7594E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7603E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7612E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.7621E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7630E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7639E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.7648E+04 |  0.4977E+01 |  0.0000E+00 |  0.4977E+01 | 
-----------   -----------   -----------   -----------
 0.7657E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.7666E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.7675E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.7684E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.7693E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.7702E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.7711E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7720E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7729E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7738E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7747E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7756E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7765E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7774E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7783E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7792E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
 0.7801E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7810E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7819E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.7828E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
 0.7837E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.7846E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.7855E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.7864E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.7873E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.7882E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.7891E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.7900E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.7909E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.7918E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.7927E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
 0.7936E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
 0.7945E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
 0.7954E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
 0.7963E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
 0.7972E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
 0.7981E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
 0.7990E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
 0.7999E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
 0.8008E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
 0.8017E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
 0.8026E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
 0.8035E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
 0.8044E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
 0.8053E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
 0.8062E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
 0.8071E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
 0.8080E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
 0.8089E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
 0.8098E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
 0.8107E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
